wind_speed,temperature,humidity,precipitation,tree_pollen,grass_pollen,weed_pollen,total_pollen,wind_direction_SW,wind_direction_W
33.5,23.6,80.7,0.1,57,56,6,119,True,False
289.9,23.2,83.4,0.7,94,31,13,138,True,False
27.8,24.6,76.4,0.2,22,51,8,81,False,True
27.6,23.0,83.7,4.5,91,30,41,162,False,True
26.2,23.4,83.6,0.4,34,69,7,110,False,True
29.9,23.6,79.8,2.7,21,71,24,116,False,True
33.6,23.2,82.6,0.6,40,67,25,132,False,True
29.2,24.3,77.1,1.8,43,68,22,133,True,False
29.5,23.3,85.2,7.0,72,24,18,114,False,True
22.3,23.7,83.1,33.0,49,71,30,150,False,True
27.9,23.9,78.5,0.4,80,42,11,133,True,False
36.9,23.7,78.8,0.8,94,58,43,195,False,True
